Company Name,Ticker,Industry,Business Model 1,Business Model 2,Business Model 3,Company Power #1,Company Power #2,Company Power #3,Mechanism #1,Mechanism #2,Mechanism #3
8x8 Inc,EGHT_US,Product Development Software & Service Platforms,B2B Software,Mission-Critical Products & Services,Physical Infra & Networks,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Area/Volume Relationships,Network Effects: Cross-Side
A.O. Smith Corporation,AOS_US,Building Products Manufacturers: HVAC/R,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Aak Ab/ADR,AAK_SE,Oils & Fats,Low Cost Operators,B2B Middlemen,Mission-Critical Products & Services,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Retraining Time
AAON Inc.,AAON_US,HVAC: System Manufacturers,Mission-Critical Products & Services,Low Cost Operators,OEMs w/ Installed Base,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
AAR Corp.,NYSE:AIR,MRO Services,Mission-Critical Products & Services,Low Cost Operators,Serial Acquirer,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Ab Volvo,VOLVB_SE,Heavy Equipment: Transportation,OEMs w/ Installed Base,Mission-Critical Products & Services,Unique IP & Brands,Scale,Brand,Switching Costs,Scale: Purchasing Clout,Brand: Trust Halo,Switching Costs: Retraining Time
ABB Ltd.,ABBN_CH,Electrical Components: Power,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Abbott Laboratories,ABT_US,Point-of-Care Diagnostics,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Abercrombie & Fitch Company,ANF_US,Youth Apparel,Vertically Integrated Retailer,Unique IP & Brands,,Brand,Scale,Process Power,Brand: Status Signaling,Scale: Purchasing Clout,Process Power: Proprietary Routines
Academy Sports and Outdoors Inc.,ASO_US,Athletic Retail,Low Cost Operators,Vertically Integrated Retailer,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Accenture plc,ACN_US,IT Services,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Scale,Brand,Process Power,Scale: Learning-Curve Effects,Brand: Trust Halo,Process Power: Proprietary Routines
AccorHotels,AC_FR,Hotel Franchising,Franchisors,Unique IP & Brands,Serial Acquirer,Scale,Brand,Network Effects,Scale: Purchasing Clout,Brand: Trust Halo,Network Effects: Same-Side
ACI Worldwide Inc.,ACIW_US,Payments Technology,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Process Power: Proprietary Routines
Acushnet Holdings Corp.,GOLF_US,Golf,Unique IP & Brands,OEMs w/ Installed Base,Mission-Critical Products & Services,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
AdaptHealth Corp.,AHCO_US,Respiratory DME,Mission-Critical Products & Services,Serial Acquirer,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Addtech,ADDTB_SE,Electrical Components: Controls,Serial Acquirer,B2B Middlemen,Mission-Critical Products & Services,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Retraining Time
Adentra,ADEN_CA,Industrial Distribution: Vertical Software,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Purchasing Clout,Process Power: Proprietary Routines
Adidas AG,ADS_DE,Athletic Footwear,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Superstar Talent
Adient plc,ADNT_US,Auto Suppliers: Seating,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Adobe Inc.,ADBE_US,Product Development Software & Service Platforms,B2B Software,Mission-Critical Products & Services,Marketplaces & Platforms,Switching Costs,Network Effects,Scale,Switching Costs: Data-Portability Frictions,Network Effects: Cross-Side,Scale: Learning-Curve Effects
Advance Auto Parts Inc.,AAP_US,Auto Parts Retail,Vertically Integrated Retailer,Low Cost Operators,B2B Middlemen,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Advanced Drainage Systems Inc.,WMS_US,Building Products Manufacturers: Plumbing & Water,Low Cost Operators,Mission-Critical Products & Services,Physical Infra & Networks,Scale,Process Power,Brand,Scale: Area/Volume Relationships,Process Power: Proprietary Routines,Brand: Trust Halo
Advanced Energy Industries Inc.,AEIS_US,Semiconductor Sub-Systems,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip
Advanced Micro Devices Inc.,AMD_US,Fabless Design,Unique IP & Brands,Mission-Critical Products & Services,,Scale,Cornered Resource,Counter-Positioning,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
AdvanSix Inc.,ASIX_US,Polymer Resins,Low Cost Operators,Mission-Critical Products & Services,Physical Infra & Networks,Scale,Process Power,Cornered Resource,Scale: Area/Volume Relationships,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Advantest Corporation,6857_JP,Semiconductor Testing,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
Adyen NV,ADYEN_NL,Payment Gateway,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
AECOM,ACM_US,Construction and Engineering: Engineering Design,Mission-Critical Products & Services,Serial Acquirer,B2B Software,Scale,Switching Costs,Cornered Resource,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Cornered Resource: Superstar Talent
Aecon Group Inc,ARE_CA,Construction and Engineering: Heavy Construction,Mission-Critical Products & Services,Low Cost Operators,Physical Infra & Networks,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Aehr Test Systems,AEHR_US,Semiconductor Testing,Mission-Critical Products & Services,Unique IP & Brands,B2B Software,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
AeroVironment Inc.,AVAV_US,Unmanned Systems,Mission-Critical Products & Services,Unique IP & Brands,B2B Software,Cornered Resource,Scale,Switching Costs,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects,Switching Costs: Retraining Time
Affirm Holdings Inc.,AFRM_US,Buy Now Pay Later,Marketplaces & Platforms,B2B Software,,Network Effects,Scale,Process Power,Network Effects: Cross-Side,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
AGCO Corporation,AGCO_US,Heavy Equipment: Agriculture,OEMs w/ Installed Base,Mission-Critical Products & Services,Serial Acquirer,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Agora Inc.,API_US,Product Development Software & Service Platforms,B2B Software,Marketplaces & Platforms,,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Air Canada,AC_CA,Canadian Carrier,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Scale,Cornered Resource,Brand,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Brand: Trust Halo
Air France-Klm,AF_FR,European Carrier,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Scale,Cornered Resource,Network Effects,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Network Effects: Same-Side
